file name A,file name B,esn type,number datasets,feedback,test/train,loss
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,0.9284098647135436
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.6362157179506984
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.5961707598524523
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.102977099817116
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.013251869511971
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.5202512312991008
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.7877372748659048
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.545001441566268
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.958240914665094
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.43559478675385865
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.3400084845169107
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.2510339653323257
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.7867366784208412
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.0017656947637903
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.7209802184991891
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.2036592789701877
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.4847023468379275
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.9289268460919632
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.8970208803716632
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.2032727013776274
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.7419669534473705
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.1890719786531108
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.9041230395191375
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.25412859858681297
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.5293583740686145
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.4810082149959156
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.8822479107891115
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.2361690864178387
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.7081006675319725
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.3295390649725847
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.4305855724989345
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.114515477924419
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.0601397842518636
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.4547074743997424
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.8617450918634101
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.4166143135762221
